Abbaye, Pt.,	46°58'N	88°08'W
Abbeville, Ala.,	31°34'N	85°15'W
Abbeville, La,	29°58'N	92°08'W
Abbeville	34°11'N	82°23'W
Aberdeen, Ala.,	33°49'N	88°33'W
Aberdeen, Idhao	42°57'N	112°50'W
Aberdeen, Md.,	39°31'N	76°10'W
Aberdeen, S. Dak.,	45°28'N	98°29'W
Aberdeen Wash.	46°59'N	123°50'W
Abernathy	33°50'N	101°51'W
Abert	42°38'N	120°14'W
Abilene, Kans.	38°55'N	97°13'W
Abilene, Tex.,	32°28'N	99°43'W
Abingdon	36°43'N	81°59'W
Absaroka Range	44°45'N	109°50'W
Acadia Nat. Park	44°20'N	68°13'W
Accomac	37°43'N	75°40'W
Ackerman	33°19'N	89°11'W
Acme	40°08'N	79°26'W
Ada, Minn.,	47°18'N	96°31'W
Ada, Okla.,	34°46'N	96°41'W
Adak I.,	51°45'N	176°45'W
Adams, Mass.,	42°38'N	73°07'W
Adams, N.Y.,	43°49'N	76°01'W
Adams, Wis.,	43°57'N	89°49'W
Adams Mt.,	46°12'N	121°30'W
Addison	42°01'N	77°14'W
Adel	31°08'N	83°25'W
Adelanto	34°35'N	117°22'W
Adirondack Mts.,	44°00'N	74°00'W
Admiralty L.,	57°30'N	134°30'W
Adrian, Mich.,	41°54'N	84°02'W
Adrian, Tex.,	35°16'N	102°40'W
Afton, N.Y.,	42°14'N	75°32'W
Afton, Wyo.,	42°44'N	110°56'W
Agawam	42°05'N	72°37'W
Agua Caliente Springs	32°56'N	116°19'W
Aguanga	33°27'N	116°51'W
Ahoskie	36°17'N	76°59'W
Aiken	33°34'N	81°43'W
Ainsworth	42°33'N	99°52'W
Aitkin	46°32'N	93°42'W
Ajo	32°22'N	112°52'W
Akron, Colo.,	40°10'N	103°13'W
Akron, Ohio	41°05'N	81°31'W
Alabama	33°00'N	87°00'W
Alabame	31°08'N	87°57'W
Alabaster	33015'N	86°49'W
Alachua	29°47'N	82°30'W
Alameda, Calif.,	37°46'N	122°15'W
Alameda, N. Mex.,	35°11'N	106°37'W
Alamo	37°22'N	115°10'W
Alamo Crossing	34°16'N	113°33'W
Alamogordo	32°54'N	105°57'W
Alamosa	37°28'N	105°52'W
Alaska	64°00'N	154°00'W
Alaska Peninsula	56°00'N	159°00'W
Alaska Range	62°50'N	151°00'W
Alava, C.,	48°10'N	124°44'W
Albany, Ga.,	31°35'N	84°10'W
Albany, N. Y.,	42°39'N	73°45'W
Albany, Oreg.,	44°38'N	123°06'W
Albany, Tex.,	32°44'N	99°18'W
Albemarle	35°21'N	80°11'W
Albemarls Sd.,	36°05'N	76°00'W
Albert Lea	43°39'S	93°22'W
Albertville	34°16'N	86°13'W
Albia	41°02'N	92°48'W
Albion, Mich.,	42°15'N	84°45'W
Albion, Nebr.,	41°42'N	98°00'W
Albion, Pa.,	41°53'N	80°22'W
Albuquerque	35°05'N	106°39'W
Alburg	44°59'N	73°18'W
Alcova	42°34'N	106°43'W
Alder Pk.,	35°53'N	121°22'W
Aledo	41°12'N	90°45'W
Alenuihaha Channel	20°30'N	156°00'W
Alexander	47°51'N	103°39'W
Alexander Arch.,	56°00'N	136°00'W
Alexander City	32°56'N	85°58'W
Alexandria, La.,	31°18'N	92°27'W
Alexandria, Minn.,	45°53'N	95°22'W
Alexandria, S. Dak.,	43°39'N	97°47'W
Alexandria, Va.,	38°48'N	77°03'W
Alexandria Bay	44°20'N	75°55'W
Alfred, Maine	43°29'N	70°43'W
Alfred, N.Y.,	42°16'N	77°48'W
Algoma	44°36'N	87°26'W
Algona	43°04'N	94°14'W
Algonac,	42°37'N	82°32'W
Alhambra	34°08'N	118°06'W
Alice	27°45'N	98°05'W
Aliceville	33°08'N	88°09'W
Aliquippa	40°37'N	80°15'W
All American Canal	32°45'N	115°15'W
Allagash	47°05'N	69°03'W
Allegany	42°06'N	78°30'W
Allegheny	40°27'N	80°01'W
